Material,Reference,E(keV)  ,SE yield
Copper,"Annealed, Hilleret, 2000",0.0571,0.79
Copper,"Annealed, Hilleret, 2000",0.0572,0.86
Copper,"Annealed, Hilleret, 2000",0.0726,0.93
Copper,"Annealed, Hilleret, 2000",0.0804,1.00
Copper,"Annealed, Hilleret, 2000",0.0957,1.05
Copper,"Annealed, Hilleret, 2000",0.1086,1.13
Copper,"Annealed, Hilleret, 2000",0.1240,1.19
Copper,"Annealed, Hilleret, 2000",0.1445,1.28
Copper,"Annealed, Hilleret, 2000",0.1726,1.35
Copper,"Annealed, Hilleret, 2000",0.2084,1.40
Copper,"Annealed, Hilleret, 2000",0.2595,1.43
Copper,"Annealed, Hilleret, 2000",0.3106,1.48
Copper,"Annealed, Hilleret, 2000",0.3590,1.48
Copper,"Annealed, Hilleret, 2000",0.4203,1.48
Copper,"Annealed, Hilleret, 2000",0.4636,1.46
Copper,"Annealed, Hilleret, 2000",0.5325,1.44
Copper,"Annealed, Hilleret, 2000",0.5886,1.43
Copper,"Annealed, Hilleret, 2000",0.6396,1.41
Copper,"Annealed, Hilleret, 2000",0.6880,1.38
Copper,"Annealed, Hilleret, 2000",0.7568,1.35
Copper,"Annealed, Hilleret, 2000",0.8104,1.34
Copper,"Annealed, Hilleret, 2000",0.8767,1.31
Copper,"Annealed, Hilleret, 2000",0.9251,1.28
Copper,"Annealed, Hilleret, 2000",0.9684,1.26
Copper,"Annealed, Hilleret, 2000",1.0169,1.24
Copper,"Annealed, Hilleret, 2000",1.0755,1.23
Copper,"Annealed, Hilleret, 2000",1.1240,1.21
Copper,"Annealed, Hilleret, 2000",1.1699,1.20
Copper,"Annealed, Hilleret, 2000",1.2209,1.18
Copper,"Annealed, Hilleret, 2000",1.2719,1.15
Copper,"Annealed, Hilleret, 2000",1.3331,1.13
Copper,"Annealed, Hilleret, 2000",1.3917,1.11
Copper,"Annealed, Hilleret, 2000",1.4426,1.10
Copper,"Annealed, Hilleret, 2000",1.5013,1.08
Copper,"Annealed, Hilleret, 2000",1.5626,1.05
Copper,"Annealed, Hilleret, 2000",1.6085,1.03
Copper,"Annealed, Hilleret, 2000",1.6722,1.02
Copper,"Annealed, Hilleret, 2000",1.7462,1.01
Copper,"Annealed, Hilleret, 2000",1.8098,0.99
Copper,"Annealed, Hilleret, 2000",1.8609,0.98
Copper,"Annealed, Hilleret, 2000",1.9171,0.98
Copper,"Bongeler, 1993",0.5000,2.11
Copper,"Bongeler, 1993",0.8000,1.87
Copper,"Bongeler, 1993",1.0000,1.72
Copper,"Bongeler, 1993",1.2000,1.47
Copper,"Bongeler, 1993",1.4000,1.44
Copper,"Bongeler, 1993",1.6000,1.37
Copper,"Bongeler, 1993",1.8000,1.19
Copper,"Bongeler, 1993",2.0000,1.12
Copper,"Bongeler, 1993",2.5000,1.04
Copper,"Bongeler, 1993",3.0000,0.89
Copper,"Bongeler, 1993",3.5000,0.81
Copper,"Bongeler, 1993",4.0000,0.75
Copper,"Bongeler, 1993",5.0000,0.64
Copper,"Bronstein, 1969",0.1000,0.56
Copper,"Bronstein, 1969",0.1900,0.72
Copper,"Bronstein, 1969",0.3000,0.85
Copper,"Bronstein, 1969",0.4000,0.93
Copper,"Bronstein, 1969",0.6000,1.02
Copper,"Bronstein, 1969",0.8000,1.03
Copper,"Bronstein, 1969",1.0200,0.99
Copper,"Bronstein, 1969",1.5000,0.88
Copper,"Bronstein, 1969",2.0200,0.77
Copper,"Bronstein, 1969",2.5000,0.70
Copper,"Bronstein, 1969",3.0000,0.61
Copper,"Bronstein, 1969",4.0000,0.50
Copper,"Bruining, 1938",0.0500,0.37
Copper,"Bruining, 1938",0.1000,0.70
Copper,"Bruining, 1938",0.2000,1.00
Copper,"Bruining, 1938",0.4000,1.23
Copper,"Bruining, 1938",0.6000,1.26
Copper,"Bruining, 1938",0.8000,1.28
Copper,"Bruining, 1938",1.0000,1.23
Copper,"Cimino, 2014",0.0160,0.99
Copper,"Cimino, 2014",0.0168,0.96
Copper,"Cimino, 2014",0.0184,0.86
Copper,"Cimino, 2014",0.0184,0.90
Copper,"Cimino, 2014",0.0185,0.81
Copper,"Cimino, 2014",0.0186,0.71
Copper,"Cimino, 2014",0.0188,0.52
Copper,"Cimino, 2014",0.0195,0.61
Copper,"Cimino, 2014",0.0197,0.42
Copper,"Cimino, 2014",0.0198,0.34
Copper,"Cimino, 2014",0.0199,0.27
Copper,"Cimino, 2014",0.0200,0.13
