,Material,Reference,E(eV)  ,SE.yield
1,Copper,Walker,1280.3,1.65
2,Copper,Walker,1502.6,1.64
3,Copper,Walker,1700.2,1.59
4,Copper,Walker,1869,1.56
5,Copper,Walker,2008.9,1.54
6,Copper,Walker,2148.9,1.53
7,Copper,Walker,2361.1,1.48
8,Copper,Walker,2476.8,1.46
9,Copper,Walker,2722.6,1.39
10,Copper,Walker,2929.8,1.34
11,Copper,Walker,3170.9,1.28
12,Copper,Walker,3527.6,1.19
13,Copper,Walker,3744.4,1.13
14,Copper,Walker,3913,1.08
15,Copper,Walker,4178.1,1.01
16,Copper,Walker,4399.6,0.94
17,Copper,Walker,4577.9,0.88
18,Copper,Walker,4741.7,0.84
19,Copper,Walker,4886.2,0.8
20,Copper,Walker,5036,0.79
21,Copper,Warnecke,0.1,0.65
22,Copper,Warnecke,25.3,0.75
23,Copper,Warnecke,38.1,0.85
24,Copper,Warnecke,49.5,0.94
25,Copper,Warnecke,75.2,1.06
26,Copper,Warnecke,101.3,1.15
27,Copper,Warnecke,126.9,1.23
28,Copper,Warnecke,177.3,1.33
29,Copper,Warnecke,227.7,1.41
30,Copper,Warnecke,253.5,1.45
31,Copper,Warnecke,278.8,1.47
32,Copper,Warnecke,302.3,1.49
33,Copper,Warnecke,329.9,1.51
34,Copper,Warnecke,378.7,1.53
35,Copper,Warnecke,406.7,1.55
36,Copper,Warnecke,442.1,1.55
37,Copper,Warnecke,471.9,1.56
38,Copper,Warnecke,490.3,1.56
39,Copper,Warnecke,532.5,1.56
40,Copper,Warnecke,558.2,1.56
41,Copper,Warnecke,592.2,1.56
42,Copper,Warnecke,619.2,1.56
43,Copper,Warnecke,645.8,1.56
44,Copper,Warnecke,684.8,1.56
45,Copper,Warnecke,735.7,1.55
46,Copper,Warnecke,786.6,1.54
47,Copper,Warnecke,828.3,1.53
48,Copper,Warnecke,877.9,1.52
49,Copper,Warnecke,918.7,1.51
50,Copper,Warnecke,958.1,1.5
51,Copper,Warnecke,999.8,1.49
52,Copper,Warnecke,1040.6,1.48
53,Copper,Warnecke,1088.7,1.47
54,Copper,Warnecke,1141,1.46
55,Copper,Warnecke,1193.3,1.45
56,Copper,Warnecke,1258.8,1.43
57,Copper,Warnecke,1319.3,1.42
58,Copper,Warnecke,1370.7,1.41
59,Copper,Warnecke,1423.4,1.39
60,Copper,Warnecke,1459.6,1.39
