,Material,Reference,E(keV),SE.yield,Rough,Smooth,Oxidized,carbon,Clean,possibly Contaminated,Annealed,Sputtered
1,Aluminum,"Baglin, 2000",0.05,1.55, , ,x, , ,x, , 
2,Aluminum,"Baglin, 2000",0.06,1.72, , ,x, , ,x, , 
3,Aluminum,"Baglin, 2000",0.08,2.01, , ,x, , ,x, , 
4,Aluminum,"Baglin, 2000",0.1,2.27, , ,x, , ,x, , 
5,Aluminum,"Baglin, 2000",0.15,2.77, , ,x, , ,x, , 
6,Aluminum,"Baglin, 2000",0.2,3.13, , ,x, , ,x, , 
7,Aluminum,"Baglin, 2000",0.25,3.33, , ,x, , ,x, , 
8,Aluminum,"Baglin, 2000",0.3,3.44, , ,x, , ,x, , 
9,Aluminum,"Baglin, 2000",0.4,3.45, , ,x, , ,x, , 
10,Aluminum,"Baglin, 2000",0.5,3.32, , ,x, , ,x, , 
11,Aluminum,"Baglin, 2000",0.8,2.76, , ,x, , ,x, , 
12,Aluminum,"Baglin, 2000",1,2.44, , ,x, , ,x, , 
13,Aluminum,"Baglin, 2000",1.2,2.19, , ,x, , ,x, , 
14,Aluminum,"Baglin, 2000",1.5,1.89, , ,x, , ,x, , 
15,Aluminum,"Baglin, 2000",1.95,1.58, , ,x, , ,x, , 
16,Aluminum,"Bongeler, 1993",0.513,3.18, , , , , , , , 
17,Aluminum,"Bongeler, 1993",0.8,2.44, , , , , , , , 
18,Aluminum,"Bongeler, 1993",1,2.1, , , , , , , , 
19,Aluminum,"Bongeler, 1993",1.2,1.93, , , , , , , , 
20,Aluminum,"Bongeler, 1993",1.4,1.69, , , , , , , , 
21,Aluminum,"Bongeler, 1993",1.6,1.61, , , , , , , , 
22,Aluminum,"Bongeler, 1993",1.8,1.39, , , , , , , , 
23,Aluminum,"Bongeler, 1993",2,1.32, , , , , , , , 
24,Aluminum,"Bongeler, 1993",2.5,1.06, , , , , , , , 
25,Aluminum,"Bongeler, 1993",3,0.96, , , , , , , , 
26,Aluminum,"Bongeler, 1993",3.5,0.85, , , , , , , , 
27,Aluminum,"Bongeler, 1993",4,0.75, , , , , , , , 
28,Aluminum,"Bongeler, 1993",5,0.68, , , , , , , , 
29,Aluminum,Bronstein I M and Fraiman 1969,0.1,0.57, , , , , , , , 
30,Aluminum,Bronstein I M and Fraiman 1969,0.2,0.62, , , , , , , , 
31,Aluminum,Bronstein I M and Fraiman 1969,0.3,0.64, , , , , , , , 
32,Aluminum,Bronstein I M and Fraiman 1969,0.41,0.64, , , , , , , , 
33,Aluminum,Bronstein I M and Fraiman 1969,0.6,0.58, , , , , , , , 
34,Aluminum,Bronstein I M and Fraiman 1969,0.808,0.5, , , , , , , , 
35,Aluminum,Bronstein I M and Fraiman 1969,1,0.45, , , , , , , , 
36,Aluminum,Bronstein I M and Fraiman 1969,2,0.3, , , , , , , , 
37,Aluminum,Bronstein I M and Fraiman 1969,3,0.23, , , , , , , , 
38,Aluminum,Bronstein I M and Fraiman 1969,4,0.18, , , , , , , , 
39,Aluminum,"Bruining, 1938",0.05,1, , ,x, , ,x, , 
40,Aluminum,"Bruining, 1938",0.1,1.32, , ,x, , ,x, , 
41,Aluminum,"Bruining, 1938",0.2,1.93, , ,x, , ,x, , 
42,Aluminum,"Bruining, 1938",0.3,2.14, , ,x, , ,x, , 
43,Aluminum,"Bruining, 1938",0.4,2.17, , ,x, , ,x, , 
44,Aluminum,"Bruining, 1938",0.5,2.1, , ,x, , ,x, , 
45,Aluminum,"Bruining, 1938",0.6,1.98, , ,x, , ,x, , 
46,Aluminum,"Copeland, 1938",0.0999,0.21, , , , , , ,x, 
47,Aluminum,"Copeland, 1938",0.2059,0.29, , , , , , ,x, 
48,Aluminum,"Copeland, 1938",0.2962,0.33, , , , , , ,x, 
49,Aluminum,"Copeland, 1938",0.3967,0.34, , , , , , ,x, 
50,Aluminum,"Copeland, 1938",0.4893,0.34, , , , , , ,x, 
51,Aluminum,"Copeland, 1938",0.6028,0.33, , , , , , ,x, 
52,Aluminum,"Copeland, 1938",0.6808,0.32, , , , , , ,x, 
53,Aluminum,"Copeland, 1938",0.7919,0.3, , , , , , ,x, 
54,Aluminum,"Copeland, 1938",0.9937,0.25, , , , , , ,x, 
55,Aluminum,"Copeland, 1938",1.2366,0.21, , , , , , ,x, 
56,Aluminum,"Copeland, 1938",1.4893,0.16, , , , , , ,x, 
57,Aluminum,"Copeland, 1938",1.7289,0.12, , , , , , ,x, 
58,Aluminum,"Copeland, 1938",1.9925,0.09, , , , , , ,x, 
59,Aluminum,"Copeland, 1938",2.4835,0.03, , , , , , ,x, 
60,Aluminum,"Copeland, 1938",2.9976,-0.01,x, , , , , , , 
61,Aluminum,"Czaja, 1966",10,0.15,x, , , , , , , 
62,Aluminum,"Czaja, 1966",15,0.27,x, , , , , , , 
63,Aluminum,"Czaja, 1966",20,0.1,x, , , , , , , 
64,Aluminum,"Czaja, 1966",25,0.06,x, , , , , , , 
65,Aluminum,"Czaja, 1966",28,0.05,x, , , , , , , 
66,Aluminum,"Czaja, 1966",30,0.06,x, , , , , , , 
67,Aluminum,"Czaja, 1966",32,0.06,x, , , , , , , 
68,Aluminum,"Czaja, 1966",35,0.05,x, , , , , , , 
69,Aluminum,"Czaja, 1966",40,0.04,x, , , , , , , 
70,Aluminum,"Kanter Bulk, 1961",0.001,1.48, , , , , , , , 
71,Aluminum,"Kanter Bulk, 1961",0.1024,1.25, , , , , , , , 
72,Aluminum,"Kanter Bulk, 1961",0.1221,1.09, , , , , , , , 
73,Aluminum,"Kanter Bulk, 1961",0.1616,0.92, , , , , , , , 
74,Aluminum,"Kanter Bulk, 1961",0.2017,0.82, , , , , , , , 
75,Aluminum,"Kanter Bulk, 1961",0.2412,0.65, , , , , , , , 
76,Aluminum,"Kanter Bulk, 1961",0.3222,0.56, , , , , , , , 
77,Aluminum,"Kanter Bulk, 1961",0.3994,0.43, , , , , , , , 
78,Aluminum,"Kanter Bulk, 1961",0.5017,0.36, , , , , , , , 
79,Aluminum,"Kanter Bulk, 1961",0.5985,0.32, , , , , , , , 
80,Aluminum,"Kanter Bulk, 1961",0.6992,0.27, , , , , , , , 
81,Aluminum,"Kanter Bulk, 1961",0.8007,0.24, , , , , , , , 
82,Aluminum,"Kanter Thin Film, 1961",2,1,x, ,x, , ,x, , 
83,Aluminum,"Kanter Thin Film, 1961",3,0.73,x, ,x, , ,x, , 
84,Aluminum,"Kanter Thin Film, 1961",4,0.6,x, ,x, , ,x, , 
85,Aluminum,"Kanter Thin Film, 1961",5,0.53,x, ,x, , ,x, , 
86,Aluminum,"Kanter Thin Film, 1961",6,0.43,x, ,x, , ,x, , 
87,Aluminum,"Kanter Thin Film, 1961",8,0.37,x, ,x, , ,x, , 
88,Aluminum,"Kanter Thin Film, 1961",10,0.28,x, ,x, , ,x, , 
89,Aluminum,"Kanter Thin Film, 1961",12.5,0.24,x, ,x, , ,x, , 
90,Aluminum,"Kanter Thin Film, 1961",15,0.21,x, ,x, , ,x, , 
91,Aluminum,"Kanter Thin Film, 1961",17.5,0.18,x, ,x, , ,x, , 
92,Aluminum,"Kanter Thin Film, 1961",20,0.17,x, ,x, , ,x, , 
93,Aluminum,"Moncrieff, 1976",2.5,0.66,x, , , , , , , 
94,Aluminum,"Moncrieff, 1976",5,0.42,x, , , , , , , 
95,Aluminum,"Moncrieff, 1976",10,0.26,x, , , , , , , 
96,Aluminum,"Moncrieff, 1976",20,0.15,x, , , , , , , 
97,Aluminum,"Moncrieff, 1976",25,0.14,x, , , , , , , 
98,Aluminum,"Reimer, 1980",1,1.58, ,x, , , , , , 
99,Aluminum,"Reimer, 1980",3,1, ,x, , , , , , 
100,Aluminum,"Reimer, 1980",5,0.5, ,x, , , , , , 
101,Aluminum,"Reimer, 1980",15,0.18, ,x, , , , , , 
102,Aluminum,"Reimer, 1980",20,0.16, ,x, , , , , , 
103,Aluminum,"Reimer, 1980",30,0.1, ,x, , , , , , 
104,Aluminum,"Shimizu, 1974",1,1.67, , , , , , , , 
105,Aluminum,"Shimizu, 1974",2,0.88, , , , , , , , 
106,Aluminum,"Shimizu, 1974",3,0.62, , , , , , , , 
107,Aluminum,"Shimizu, 1974",4,0.51, , , , , , , , 
108,Aluminum,"Shimizu, 1974",5,0.44, , , , , , , , 
109,Aluminum,"Shimizu, 1974",6,0.35, , , , , , , , 
110,Aluminum,"Shimizu, 1974",7,0.31, , , , , , , , 
111,Aluminum,"Shimizu, 1974",8,0.27, , , , , , , , 
112,Aluminum,"Shimizu, 1974",9,0.26, , , , , , , , 
113,Aluminum,"Shimizu, 1974",10,0.23, , , , , , , , 
114,Aluminum,"USU, 2001, 5 param",0,0,x,x, , ,x, ,x,x
115,Aluminum,"USU, 2001, 5 param",0.02,0.51,x,x, , ,x, ,x,x
116,Aluminum,"USU, 2001, 5 param",0.04,0.87,x,x, , ,x, ,x,x
117,Aluminum,"USU, 2001, 5 param",0.06,1.15,x,x, , ,x, ,x,x
118,Aluminum,"USU, 2001, 5 param",0.08,1.38,x,x, , ,x, ,x,x
119,Aluminum,"USU, 2001, 5 param",0.1,1.58,x,x, , ,x, ,x,x
120,Aluminum,"USU, 2001, 5 param",0.12,1.74,x,x, , ,x, ,x,x
121,Aluminum,"USU, 2001, 5 param",0.14,1.88,x,x, , ,x, ,x,x
122,Aluminum,"USU, 2001, 5 param",0.16,1.99,x,x, , ,x, ,x,x
123,Aluminum,"USU, 2001, 5 param",0.18,2.08,x,x, , ,x, ,x,x
124,Aluminum,"USU, 2001, 5 param",0.2,2.16,x,x, , ,x, ,x,x
125,Aluminum,"USU, 2001, 5 param",0.22,2.22,x,x, , ,x, ,x,x
126,Aluminum,"USU, 2001, 5 param",0.24,2.26,x,x, , ,x, ,x,x
127,Aluminum,"USU, 2001, 5 param",0.26,2.3,x,x, , ,x, ,x,x
128,Aluminum,"USU, 2001, 5 param",0.28,2.32,x,x, , ,x, ,x,x
129,Aluminum,"USU, 2001, 5 param",0.3,2.34,x,x, , ,x, ,x,x
130,Aluminum,"USU, 2001, 5 param",0.32,2.35,x,x, , ,x, ,x,x
131,Aluminum,"USU, 2001, 5 param",0.34,2.35,x,x, , ,x, ,x,x
132,Aluminum,"USU, 2001, 5 param",0.36,2.35,x,x, , ,x, ,x,x
133,Aluminum,"USU, 2001, 5 param",0.38,2.34,x,x, , ,x, ,x,x
134,Aluminum,"USU, 2001, 5 param",0.4,2.33,x,x, , ,x, ,x,x
135,Aluminum,"USU, 2001, 5 param",0.42,2.32,x,x, , ,x, ,x,x
136,Aluminum,"USU, 2001, 5 param",0.44,2.3,x,x, , ,x, ,x,x
137,Aluminum,"USU, 2001, 5 param",0.46,2.28,x,x, , ,x, ,x,x
138,Aluminum,"USU, 2001, 5 param",0.48,2.26,x,x, , ,x, ,x,x
139,Aluminum,"USU, 2001, 5 param",0.5,2.24,x,x, , ,x, ,x,x
140,Aluminum,"USU, 2001, 5 param",0.52,2.22,x,x, , ,x, ,x,x
141,Aluminum,"USU, 2001, 5 param",0.54,2.2,x,x, , ,x, ,x,x
142,Aluminum,"USU, 2001, 5 param",0.56,2.17,x,x, , ,x, ,x,x
143,Aluminum,"USU, 2001, 5 param",0.58,2.15,x,x, , ,x, ,x,x
144,Aluminum,"USU, 2001, 5 param",0.6,2.12,x,x, , ,x, ,x,x
145,Aluminum,"USU, 2001, 5 param",0.62,2.1,x,x, , ,x, ,x,x
146,Aluminum,"USU, 2001, 5 param",0.64,2.08,x,x, , ,x, ,x,x
147,Aluminum,"USU, 2001, 5 param",0.66,2.05,x,x, , ,x, ,x,x
148,Aluminum,"USU, 2001, 5 param",0.68,2.03,x,x, , ,x, ,x,x
149,Aluminum,"USU, 2001, 5 param",0.7,2,x,x, , ,x, ,x,x
150,Aluminum,"USU, 2001, 5 param",0.72,1.98,x,x, , ,x, ,x,x
151,Aluminum,"USU, 2001, 5 param",0.74,1.96,x,x, , ,x, ,x,x
152,Aluminum,"USU, 2001, 5 param",0.76,1.93,x,x, , ,x, ,x,x
153,Aluminum,"USU, 2001, 5 param",0.78,1.91,x,x, , ,x, ,x,x
154,Aluminum,"USU, 2001, 5 param",0.8,1.89,x,x, , ,x, ,x,x
155,Aluminum,"USU, 2001, 5 param",0.82,1.86,x,x, , ,x, ,x,x
156,Aluminum,"USU, 2001, 5 param",0.84,1.84,x,x, , ,x, ,x,x
157,Aluminum,"USU, 2001, 5 param",0.86,1.82,x,x, , ,x, ,x,x
158,Aluminum,"USU, 2001, 5 param",0.88,1.8,x,x, , ,x, ,x,x
159,Aluminum,"USU, 2001, 5 param",0.9,1.78,x,x, , ,x, ,x,x
160,Aluminum,"USU, 2001, 5 param",0.92,1.76,x,x, , ,x, ,x,x
161,Aluminum,"USU, 2001, 5 param",0.94,1.74,x,x, , ,x, ,x,x
162,Aluminum,"USU, 2001, 5 param",0.96,1.72,x,x, , ,x, ,x,x
163,Aluminum,"USU, 2001, 5 param",0.98,1.7,x,x, , ,x, ,x,x
164,Aluminum,"USU, 2001, 5 param",1,1.68,x,x, , ,x, ,x,x
165,Aluminum,"USU, 2001, 5 param",1.1,1.59,x,x, , ,x, ,x,x
166,Aluminum,"USU, 2001, 5 param",1.2,1.5,x,x, , ,x, ,x,x
167,Aluminum,"USU, 2001, 5 param",1.3,1.43,x,x, , ,x, ,x,x
168,Aluminum,"USU, 2001, 5 param",1.4,1.36,x,x, , ,x, ,x,x
169,Aluminum,"USU, 2001, 5 param",1.5,1.3,x,x, , ,x, ,x,x
170,Aluminum,"USU, 2001, 5 param",1.6,1.24,x,x, , ,x, ,x,x
171,Aluminum,"USU, 2001, 5 param",1.7,1.19,x,x, , ,x, ,x,x
172,Aluminum,"USU, 2001, 5 param",1.8,1.14,x,x, , ,x, ,x,x
173,Aluminum,"USU, 2001, 5 param",1.9,1.1,x,x, , ,x, ,x,x
174,Aluminum,"USU, 2001, 5 param",2,1.05,x,x, , ,x, ,x,x
175,Aluminum,"USU, 2001, 5 param",2.1,1.02,x,x, , ,x, ,x,x
176,Aluminum,"USU, 2001, 5 param",2.2,0.98,x,x, , ,x, ,x,x
177,Aluminum,"USU, 2001, 5 param",2.3,0.95,x,x, , ,x, ,x,x
178,Aluminum,"USU, 2001, 5 param",2.4,0.92,x,x, , ,x, ,x,x
179,Aluminum,"USU, 2001, 5 param",2.5,0.89,x,x, , ,x, ,x,x
180,Aluminum,"USU, 2001, 5 param",2.6,0.86,x,x, , ,x, ,x,x
181,Aluminum,"USU, 2001, 5 param",2.7,0.84,x,x, , ,x, ,x,x
182,Aluminum,"USU, 2001, 5 param",2.8,0.81,x,x, , ,x, ,x,x
183,Aluminum,"USU, 2001, 5 param",2.9,0.79,x,x, , ,x, ,x,x
184,Aluminum,"USU, 2001, 5 param",3,0.77,x,x, , ,x, ,x,x
185,Aluminum,"USU, 2001, 5 param",3.1,0.75,x,x, , ,x, ,x,x
186,Aluminum,"USU, 2001, 5 param",3.2,0.73,x,x, , ,x, ,x,x
187,Aluminum,"USU, 2001, 5 param",3.3,0.71,x,x, , ,x, ,x,x
188,Aluminum,"USU, 2001, 5 param",3.4,0.69,x,x, , ,x, ,x,x
189,Aluminum,"USU, 2001, 5 param",3.5,0.68,x,x, , ,x, ,x,x
190,Aluminum,"USU, 2001, 5 param",3.6,0.66,x,x, , ,x, ,x,x
191,Aluminum,"USU, 2001, 5 param",3.7,0.65,x,x, , ,x, ,x,x
192,Aluminum,"USU, 2001, 5 param",3.8,0.63,x,x, , ,x, ,x,x
193,Aluminum,"USU, 2001, 5 param",3.9,0.62,x,x, , ,x, ,x,x
194,Aluminum,"USU, 2001, 5 param",4,0.61,x,x, , ,x, ,x,x
195,Aluminum,"USU, 2001, 5 param",4.1,0.59,x,x, , ,x, ,x,x
196,Aluminum,"USU, 2001, 5 param",4.2,0.58,x,x, , ,x, ,x,x
197,Aluminum,"USU, 2001, 5 param",4.3,0.57,x,x, , ,x, ,x,x
198,Aluminum,"USU, 2001, 5 param",4.4,0.56,x,x, , ,x, ,x,x
199,Aluminum,"USU, 2001, 5 param",4.5,0.55,x,x, , ,x, ,x,x
200,Aluminum,"USU, 2001, 5 param",4.6,0.54,x,x, , ,x, ,x,x
201,Aluminum,"USU, 2001, 5 param",4.7,0.53,x,x, , ,x, ,x,x
202,Aluminum,"USU, 2001, 5 param",4.8,0.52,x,x, , ,x, ,x,x
203,Aluminum,"USU, 2001, 5 param",4.9,0.51,x,x, , ,x, ,x,x
204,Aluminum,"USU, 2001, 5 param",5,0.5,x,x, , ,x, ,x,x
205,Aluminum,"USU, 2001, 5 param",5.1,0.49,x,x, , ,x, ,x,x
206,Aluminum,"USU, 2001, 5 param",5.2,0.49,x,x, , ,x, ,x,x
207,Aluminum,"USU, 2001, 5 param",5.3,0.48,x,x, , ,x, ,x,x
208,Aluminum,"USU, 2001, 5 param",5.4,0.47,x,x, , ,x, ,x,x
209,Aluminum,"USU, 2001, 5 param",5.5,0.46,x,x, , ,x, ,x,x
210,Aluminum,"USU, 2001, 5 param",5.6,0.46,x,x, , ,x, ,x,x
211,Aluminum,"USU, 2001, 5 param",5.7,0.45,x,x, , ,x, ,x,x
212,Aluminum,"USU, 2001, 5 param",5.8,0.44,x,x, , ,x, ,x,x
213,Aluminum,"USU, 2001, 5 param",5.9,0.44,x,x, , ,x, ,x,x
214,Aluminum,"USU, 2001, 5 param",6,0.43,x,x, , ,x, ,x,x
215,Aluminum,"USU, 2001, 5 param",6.1,0.42,x,x, , ,x, ,x,x
216,Aluminum,"USU, 2001, 5 param",6.2,0.42,x,x, , ,x, ,x,x
217,Aluminum,"USU, 2001, 5 param",6.3,0.41,x,x, , ,x, ,x,x
218,Aluminum,"USU, 2001, 5 param",6.4,0.41,x,x, , ,x, ,x,x
219,Aluminum,"USU, 2001, 5 param",6.5,0.4,x,x, , ,x, ,x,x
220,Aluminum,"USU, 2001, 5 param",6.6,0.4,x,x, , ,x, ,x,x
221,Aluminum,"USU, 2001, 5 param",6.7,0.39,x,x, , ,x, ,x,x
222,Aluminum,"USU, 2001, 5 param",6.8,0.39,x,x, , ,x, ,x,x
223,Aluminum,"USU, 2001, 5 param",6.9,0.38,x,x, , ,x, ,x,x
224,Aluminum,"USU, 2001, 5 param",7,0.38,x,x, , ,x, ,x,x
225,Aluminum,"USU, 2001, 5 param",7.1,0.37,x,x, , ,x, ,x,x
226,Aluminum,"USU, 2001, 5 param",7.2,0.37,x,x, , ,x, ,x,x
227,Aluminum,"USU, 2001, 5 param",7.3,0.36,x,x, , ,x, ,x,x
228,Aluminum,"USU, 2001, 5 param",7.4,0.36,x,x, , ,x, ,x,x
229,Aluminum,"USU, 2001, 5 param",7.5,0.35,x,x, , ,x, ,x,x
230,Aluminum,"USU, 2001, 5 param",7.6,0.35,x,x, , ,x, ,x,x
231,Aluminum,"USU, 2001, 5 param",7.7,0.35,x,x, , ,x, ,x,x
232,Aluminum,"USU, 2001, 5 param",7.8,0.34,x,x, , ,x, ,x,x
233,Aluminum,"USU, 2001, 5 param",7.9,0.34,x,x, , ,x, ,x,x
234,Aluminum,"USU, 2001, 5 param",8,0.34,x,x, , ,x, ,x,x
235,Aluminum,"USU, 2001, 5 param",8.1,0.33,x,x, , ,x, ,x,x
236,Aluminum,"USU, 2001, 5 param",8.2,0.33,x,x, , ,x, ,x,x
237,Aluminum,"USU, 2001, 5 param",8.3,0.32,x,x, , ,x, ,x,x
238,Aluminum,"USU, 2001, 5 param",8.4,0.32,x,x, , ,x, ,x,x
239,Aluminum,"USU, 2001, 5 param",8.5,0.32,x,x, , ,x, ,x,x
240,Aluminum,"USU, 2001, 5 param",8.6,0.31,x,x, , ,x, ,x,x
241,Aluminum,"USU, 2001, 5 param",8.7,0.31,x,x, , ,x, ,x,x
242,Aluminum,"USU, 2001, 5 param",8.8,0.31,x,x, , ,x, ,x,x
243,Aluminum,"USU, 2001, 5 param",8.9,0.31,x,x, , ,x, ,x,x
244,Aluminum,"USU, 2001, 5 param",9,0.3,x,x, , ,x, ,x,x
245,Aluminum,"USU, 2001, 5 param",9.1,0.3,x,x, , ,x, ,x,x
246,Aluminum,"USU, 2001, 5 param",9.2,0.3,x,x, , ,x, ,x,x
247,Aluminum,"USU, 2001, 5 param",9.3,0.29,x,x, , ,x, ,x,x
248,Aluminum,"USU, 2001, 5 param",9.4,0.29,x,x, , ,x, ,x,x
249,Aluminum,"USU, 2001, 5 param",9.5,0.29,x,x, , ,x, ,x,x
250,Aluminum,"USU, 2001, 5 param",9.6,0.29,x,x, , ,x, ,x,x
251,Aluminum,"USU, 2001, 5 param",9.7,0.28,x,x, , ,x, ,x,x
252,Aluminum,"USU, 2001, 5 param",9.8,0.28,x,x, , ,x, ,x,x
253,Aluminum,"USU, 2001, 5 param",9.9,0.28,x,x, , ,x, ,x,x
254,Aluminum,"USU, 2001, no fit",0.1003,1.49,x,x, , ,x, ,x,x
255,Aluminum,"USU, 2001, no fit",0.2002,1.91,x,x, , ,x, ,x,x
256,Aluminum,"USU, 2001, no fit",0.2501,2,x,x, , ,x, ,x,x
257,Aluminum,"USU, 2001, no fit",0.2998,2.04,x,x, , ,x, ,x,x
258,Aluminum,"USU, 2001, no fit",0.3501,2.04,x,x, , ,x, ,x,x
259,Aluminum,"USU, 2001, no fit",0.3998,2.01,x,x, , ,x, ,x,x
260,Aluminum,"USU, 2001, no fit",0.4502,1.97,x,x, , ,x, ,x,x
261,Aluminum,"USU, 2001, no fit",0.5005,1.94,x,x, , ,x, ,x,x
262,Aluminum,"USU, 2001, no fit",0.6004,1.83,x,x, , ,x, ,x,x
263,Aluminum,"USU, 2001, no fit",0.7002,1.75,x,x, , ,x, ,x,x
264,Aluminum,"USU, 2001, no fit",0.8004,1.65,x,x, , ,x, ,x,x
265,Aluminum,"USU, 2001, no fit",0.9004,1.6,x,x, , ,x, ,x,x
266,Aluminum,"USU, 2001, no fit",1.0001,1.52,x,x, , ,x, ,x,x
267,Aluminum,"USU, 2001, no fit",4.5,0.47,x,x, , ,x, ,x,x
268,Aluminum,"USU, 2001, no fit",5,0.42,x,x, , ,x, ,x,x
269,Aluminum,"USU, 2001, no fit",6,0.36,x,x, , ,x, ,x,x
270,Aluminum,"USU, 2001, no fit",7,0.32,x,x, , ,x, ,x,x
271,Aluminum,"USU, 2001, no fit",8,0.29,x,x, , ,x, ,x,x
272,Aluminum,"USU, 2001, no fit",9,0.25,x,x, , ,x, ,x,x
273,Aluminum,"USU, 2001, no fit",10,0.23,x,x, , ,x, ,x,x
274,Aluminum,"Walker, Cleaned (2008)",1.225,1.95, , ,x, ,x,x, ,x
275,Aluminum,"Walker, Cleaned (2008)",1.4537,2.01, , ,x, ,x,x, ,x
276,Aluminum,"Walker, Cleaned (2008)",1.636,2.03, , ,x, ,x,x, ,x
277,Aluminum,"Walker, Cleaned (2008)",1.8045,2.05, , ,x, ,x,x, ,x
278,Aluminum,"Walker, Cleaned (2008)",1.9544,2.04, , ,x, ,x,x, ,x
279,Aluminum,"Walker, Cleaned (2008)",2.0904,2.04, , ,x, ,x,x, ,x
280,Aluminum,"Walker, Cleaned (2008)",2.2124,2.02, , ,x, ,x,x, ,x
281,Aluminum,"Walker, Cleaned (2008)",2.3157,2, , ,x, ,x,x, ,x
282,Aluminum,"Walker, Cleaned (2008)",2.419,1.99, , ,x, ,x,x, ,x
283,Aluminum,"Walker, Cleaned (2008)",2.5036,1.97, , ,x, ,x,x, ,x
284,Aluminum,"Walker, Cleaned (2008)",2.6023,1.95, , ,x, ,x,x, ,x
285,Aluminum,"Walker, Cleaned (2008)",2.6728,1.93, , ,x, ,x,x, ,x
286,Aluminum,"Walker, Cleaned (2008)",2.8138,1.9, , ,x, ,x,x, ,x
287,Aluminum,"Walker, Cleaned (2008)",2.8891,1.88, , ,x, ,x,x, ,x
288,Aluminum,"Walker, Cleaned (2008)",3.0114,1.85, , ,x, ,x,x, ,x
289,Aluminum,"Walker, Cleaned (2008)",3.1196,1.81, , ,x, ,x,x, ,x
290,Aluminum,"Walker, Cleaned (2008)",3.2842,1.77, , ,x, ,x,x, ,x
291,Aluminum,"Walker, Cleaned (2008)",3.4961,1.7, , ,x, ,x,x, ,x
292,Aluminum,"Walker, Cleaned (2008)",3.6843,1.64, , ,x, ,x,x, ,x
293,Aluminum,"Walker, Cleaned (2008)",3.8444,1.58, , ,x, ,x,x, ,x
294,Aluminum,"Walker, Cleaned (2008)",4.1362,1.49, , ,x, ,x,x, ,x
295,Aluminum,"Walker, Cleaned (2008)",4.3576,1.41, , ,x, ,x,x, ,x
296,Aluminum,"Walker, Cleaned (2008)",4.5506,1.35, , ,x, ,x,x, ,x
297,Aluminum,"Walker, Cleaned (2008)",4.7153,1.29, , ,x, ,x,x, ,x
298,Aluminum,"Walker, Cleaned (2008)",4.8521,1.23, , ,x, ,x,x, ,x
299,Aluminum,"Walker, Cleaned (2008)",4.9795,1.17, , ,x, ,x,x, ,x
300,Aluminum,"Walker, Native (2008)",1.4573,1.77, , ,x, , ,x, ,x
301,Aluminum,"Walker, Native (2008)",1.6502,1.71, , ,x, , ,x, ,x
302,Aluminum,"Walker, Native (2008)",1.8045,1.73, , ,x, , ,x, ,x
303,Aluminum,"Walker, Native (2008)",1.9508,1.66, , ,x, , ,x, ,x
